# Simulador do Modelo OSI — Comunicação de Dados
# Caso: C1 — Entrega direta
# Topologia: Topologia de referência — Projeto 1
# Data: 2026-09-19 23:22:48
#
001 | H1 | L7 | GERA | processo navegador, destino servidorWeb             42 B
002 | H1 | L6 | CODIFICA | octetos UTF-8, conteúdo cifrado                 42 B
003 | H1 | L5 | ABRE | sessão S-0001 estabelecida                          46 B
004 | H1 | L4 | SEGMENTA | porta 5210 → 443, segmento 1 de 1               54 B
005 | H1 | L3 | ENCAPSULA | 10.0.1.10 → 10.0.1.11                          74 B
006 | H1 | L3 | ROTEIA | destino na mesma rede, entrega direta             74 B
007 | H1 | L2 | ENQUADRA | AA:…:01:0A → AA:…:01:0B, quadro Q1              92 B
008 | H1 | L1 | TRANSMITE | 736 bits no enlace H1–H2                       92 B
009 | H2 | L1 | RECEBE | 736 bits do enlace H1–H2                          92 B
010 | H2 | L2 | DESENQUADRA | verificação de erro correta, quadro Q1 descartado  74 B
011 | H2 | L3 | DESENCAPSULA | 10.0.1.10 → 10.0.1.11, destino local        54 B
012 | H2 | L4 | REMONTA | porta 443, segmento 1 de 1 remontado             46 B
013 | H2 | L5 | ENCERRA | sessão S-0001 encerrada                          42 B
014 | H2 | L6 | DECIFRA | conteúdo decifrado, octetos UTF-8                42 B
015 | H2 | L7 | ENTREGA | mensagem entregue ao processo servidorWeb        42 B
016 | -- | -- | METRICAS | 42 B úteis, 92 B transmitidos, η = 45,7%
