# Simulador do Modelo OSI 1.0 - Grupo 8
# Integrantes: Arthur Benevides 082230016, Fernando Montanher 082230010, Guilherme Costa 081240041, Juan Haddad 081240043, Murillo Ando 082240042
# Cenario: E1/C1 - Entrega direta
# Descricao: H1 envia para H2 na Rede A; um unico quadro, sem roteador.
# Rede: Rede de referencia do Projeto 1
# Caminho: H1 -> H2
# Octetos uteis da mensagem ....... 42 B
# Octetos transmitidos nos enlaces  92 B
# Quadros construidos ............. 1
# Eficiencia (n) .................. 45.7%
# Sobrecarga (1 - n) .............. 54.3%
#
001 | H1 | L7 | GERA         | processo navegador, destino servidorWeb                       42 B
002 | H1 | L6 | CODIFICA     | octetos UTF-8, conteudo cifrado                               42 B
003 | H1 | L5 | ABRE         | sessao S-0001 estabelecida                                    46 B
004 | H1 | L4 | SEGMENTA     | porta 5210 → 443, segmento 1 de 1                             54 B
005 | H1 | L3 | ENCAPSULA    | 10.0.1.10 → 10.0.1.11                                         74 B
006 | H1 | L3 | ROTEIA       | 10.0.1.0/24 e rede local, entrega direta pela interface eth0  74 B
007 | H1 | L2 | ENQUADRA     | AA:...:01:0A → AA:...:01:0B, quadro Q1                        92 B
008 | H1 | L1 | TRANSMITE    | 736 bits no enlace H1–H2                                      92 B
009 | H2 | L1 | RECEBE       | 736 bits do enlace H1–H2                                      92 B
010 | H2 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q1 descartado             74 B
011 | H2 | L3 | DESENCAPSULA | pacote P1 entregue ao destino 10.0.1.11                       54 B
012 | H2 | L4 | DEMULTIPLEXA | porta 443 (servidorWeb) recebe da porta 5210, segmento 1 de 1 46 B
013 | H2 | L5 | ENCERRA      | sessao S-0001 encerrada                                       42 B
014 | H2 | L6 | DECODIFICA   | conteudo decifrado e texto restaurado                         42 B
015 | H2 | L7 | ENTREGA      | mensagem entregue ao processo servidorWeb                     42 B
