# Simulador do Modelo OSI 1.0 - Grupo 8
# Integrantes: Arthur Benevides 082230016, Fernando Montanher 082230010, Guilherme Costa 081240041, Juan Haddad 081240043, Murillo Ando 082240042
# Cenario: E2/C2 - Entrega indireta (caso central)
# Descricao: H1:5210 envia 42 B para H4:443 por R1, R4 e R3.
# Rede: Rede de referencia do Projeto 1
# Caminho: H1 -> R1 -> R4 -> R3 -> H4
# Octetos uteis da mensagem ....... 42 B
# Octetos transmitidos nos enlaces  368 B
# Quadros construidos ............. 4
# Eficiencia (n) .................. 11.4%
# Sobrecarga (1 - n) .............. 88.6%
#
001 | H1 | L7 | GERA         | processo navegador, destino servidorWeb                       42 B
002 | H1 | L6 | CODIFICA     | octetos UTF-8, conteudo cifrado                               42 B
003 | H1 | L5 | ABRE         | sessao S-0001 estabelecida                                    46 B
004 | H1 | L4 | SEGMENTA     | porta 5210 → 443, segmento 1 de 1                             54 B
005 | H1 | L3 | ENCAPSULA    | 10.0.1.10 → 10.0.3.10                                         74 B
006 | H1 | L3 | ROTEIA       | proximo salto 10.0.1.1 pela interface eth0                    74 B
007 | H1 | L2 | ENQUADRA     | AA:...:01:0A → BB:...:01:00, quadro Q1                        92 B
008 | H1 | L1 | TRANSMITE    | 736 bits no enlace H1–R1                                      92 B
009 | R1 | L1 | RECEBE       | 736 bits do enlace H1–R1                                      92 B
010 | R1 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q1 descartado             74 B
011 | R1 | L3 | ROTEIA       | 10.0.3.0/24 via R4, custo 2, interface e1                     74 B
012 | R1 | L2 | ENQUADRA     | BB:...:01:01 → BB:...:04:00, quadro Q2                        92 B
013 | R1 | L1 | TRANSMITE    | 736 bits no enlace R1–R4                                      92 B
014 | R4 | L1 | RECEBE       | 736 bits do enlace R1–R4                                      92 B
015 | R4 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q2 descartado             74 B
016 | R4 | L3 | ROTEIA       | 10.0.3.0/24 via R3, custo 1, interface e1                     74 B
017 | R4 | L2 | ENQUADRA     | BB:...:04:01 → BB:...:03:00, quadro Q3                        92 B
018 | R4 | L1 | TRANSMITE    | 736 bits no enlace R4–R3                                      92 B
019 | R3 | L1 | RECEBE       | 736 bits do enlace R4–R3                                      92 B
020 | R3 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q3 descartado             74 B
021 | R3 | L3 | ROTEIA       | 10.0.3.0/24 e rede local, entrega direta pela interface e2    74 B
022 | R3 | L2 | ENQUADRA     | BB:...:03:02 → AA:...:03:0A, quadro Q4                        92 B
023 | R3 | L1 | TRANSMITE    | 736 bits no enlace R3–H4                                      92 B
024 | H4 | L1 | RECEBE       | 736 bits do enlace R3–H4                                      92 B
025 | H4 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q4 descartado             74 B
026 | H4 | L3 | DESENCAPSULA | pacote P1 entregue ao destino 10.0.3.10                       54 B
027 | H4 | L4 | DEMULTIPLEXA | porta 443 (servidorWeb) recebe da porta 5210, segmento 1 de 1 46 B
028 | H4 | L5 | ENCERRA      | sessao S-0001 encerrada                                       42 B
029 | H4 | L6 | DECODIFICA   | conteudo decifrado e texto restaurado                         42 B
030 | H4 | L7 | ENTREGA      | mensagem entregue ao processo servidorWeb                     42 B
