# Simulador do Modelo OSI 1.0 - Grupo 8
# Integrantes: Arthur Benevides 082230016, Fernando Montanher 082230010, Guilherme Costa 081240041, Juan Haddad 081240043, Murillo Ando 082240042
# Cenario: E3/C3 - Demultiplexacao
# Descricao: H1 e H2 enviam ao mesmo servidorWeb de H4, com portas de origem distintas.
# Rede: Rede de referencia do Projeto 1
# Caminho: H1 -> R1 -> R4 -> R3 -> H4
# Octetos uteis da mensagem ....... 84 B
# Octetos transmitidos nos enlaces  736 B
# Quadros construidos ............. 8
# Eficiencia (n) .................. 11.4%
# Sobrecarga (1 - n) .............. 88.6%
#
001 | H1 | L7 | GERA         | processo navegador, destino servidorWeb                       42 B
002 | H2 | L7 | GERA         | processo navegador, destino servidorWeb                       42 B
003 | H1 | L6 | CODIFICA     | octetos UTF-8, conteudo cifrado                               42 B
004 | H2 | L6 | CODIFICA     | octetos UTF-8, conteudo cifrado                               42 B
005 | H1 | L5 | ABRE         | sessao S-0001 estabelecida                                    46 B
006 | H2 | L5 | ABRE         | sessao S-0002 estabelecida                                    46 B
007 | H1 | L4 | SEGMENTA     | porta 5210 → 443, segmento 1 de 1                             54 B
008 | H2 | L4 | SEGMENTA     | porta 5310 → 443, segmento 1 de 1                             54 B
009 | H1 | L3 | ENCAPSULA    | 10.0.1.10 → 10.0.3.10                                         74 B
010 | H2 | L3 | ENCAPSULA    | 10.0.1.11 → 10.0.3.10                                         74 B
011 | H1 | L3 | ROTEIA       | proximo salto 10.0.1.1 pela interface eth0                    74 B
012 | H2 | L3 | ROTEIA       | proximo salto 10.0.1.1 pela interface eth0                    74 B
013 | H1 | L2 | ENQUADRA     | AA:...:01:0A → BB:...:01:00, quadro Q1                        92 B
014 | H2 | L2 | ENQUADRA     | AA:...:01:0B → BB:...:01:00, quadro Q5                        92 B
015 | H1 | L1 | TRANSMITE    | 736 bits no enlace H1–R1                                      92 B
016 | H2 | L1 | TRANSMITE    | 736 bits no enlace H2–R1                                      92 B
