# Simulador do Modelo OSI 1.0 - Grupo 8
# Integrantes: Arthur Benevides 082230016, Fernando Montanher 082230010, Guilherme Costa 081240041, Juan Haddad 081240043, Murillo Ando 082240042
# Cenario: E7/C7 - Mensagem longa
# Descricao: Mensagem de 100 B dividida em tres segmentos, remontados em ordem.
# Rede: Rede de referencia do Projeto 1
# Caminho: H1 -> R1 -> R4 -> R3 -> H4
# Octetos uteis da mensagem ....... 100 B
# Octetos transmitidos nos enlaces  968 B
# Quadros construidos ............. 12
# Eficiencia (n) .................. 10.3%
# Sobrecarga (1 - n) .............. 89.7%
#
001 | H1 | L7 | GERA         | processo navegador, destino servidorWeb                       100 B
002 | H1 | L6 | CODIFICA     | octetos UTF-8, conteudo cifrado                               100 B
003 | H1 | L5 | ABRE         | sessao S-0001 estabelecida                                    104 B
004 | H1 | L4 | SEGMENTA     | porta 5210 → 443, segmento 1 de 3                             48 B
005 | H1 | L3 | ENCAPSULA    | 10.0.1.10 → 10.0.3.10                                         68 B
006 | H1 | L3 | ROTEIA       | proximo salto 10.0.1.1 pela interface eth0                    68 B
007 | H1 | L2 | ENQUADRA     | AA:...:01:0A → BB:...:01:00, quadro Q1                        86 B
008 | H1 | L1 | TRANSMITE    | 688 bits no enlace H1–R1                                      86 B
009 | R1 | L1 | RECEBE       | 688 bits do enlace H1–R1                                      86 B
010 | R1 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q1 descartado             68 B
011 | R1 | L3 | ROTEIA       | 10.0.3.0/24 via R4, custo 2, interface e1                     68 B
012 | R1 | L2 | ENQUADRA     | BB:...:01:01 → BB:...:04:00, quadro Q2                        86 B
013 | R1 | L1 | TRANSMITE    | 688 bits no enlace R1–R4                                      86 B
014 | R4 | L1 | RECEBE       | 688 bits do enlace R1–R4                                      86 B
015 | R4 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q2 descartado             68 B
016 | R4 | L3 | ROTEIA       | 10.0.3.0/24 via R3, custo 1, interface e1                     68 B
017 | R4 | L2 | ENQUADRA     | BB:...:04:01 → BB:...:03:00, quadro Q3                        86 B
018 | R4 | L1 | TRANSMITE    | 688 bits no enlace R4–R3                                      86 B
019 | R3 | L1 | RECEBE       | 688 bits do enlace R4–R3                                      86 B
