001 | H1 | L7 | GERA | processo clienteLongo, destino servidorWeb [10.0.1.10:5400 -> 10.0.3.10:443] 100 B
002 | H1 | L6 | CODIFICA | codificação UTF-8; cifra XOR didática, chave 0x5A [10.0.1.10:5400 -> 10.0.3.10:443] 100 B
003 | H1 | L5 | ABRE | sessão S-0001 estabelecida [10.0.1.10:5400 -> 10.0.3.10:443] 104 B
004 | H1 | L4 | SEGMENTA | porta 5400 -> 443, segmento 1/3; carga 40 B, limite 40 B [10.0.1.10:5400 -> 10.0.3.10:443] 48 B
005 | H1 | L3 | ENCAPSULA | 10.0.1.10 -> 10.0.3.10, pacote P1 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
006 | H1 | L3 | ROTEIA | 10.0.3.0/24 via R1 (10.0.1.1), custo 0, interface eth0 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
007 | H1 | L2 | ENQUADRA | AA:00:00:00:01:0A -> BB:00:00:00:01:00; H2=14 B e F2/CRC32=4 B; novo Q1, contém P1 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
008 | H1 | L1 | TRANSMITE | 688 bits no enlace H1-R1; Q1 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
009 | R1 | L1 | RECEBE | 688 bits recebidos; Q1 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
010 | R1 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q1 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
011 | R1 | L3 | ROTEIA | 10.0.3.0/24 via R4 (10.0.14.4), custo 2, interface e1 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
012 | R1 | L2 | ENQUADRA | BB:00:00:00:01:01 -> BB:00:00:00:04:00; H2=14 B e F2/CRC32=4 B; novo Q2, contém P1 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
013 | R1 | L1 | TRANSMITE | 688 bits no enlace R1-R4; Q2 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
014 | R4 | L1 | RECEBE | 688 bits recebidos; Q2 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
015 | R4 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q2 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
016 | R4 | L3 | ROTEIA | 10.0.3.0/24 via R3 (10.0.34.3), custo 1, interface e1 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
017 | R4 | L2 | ENQUADRA | BB:00:00:00:04:01 -> BB:00:00:00:03:00; H2=14 B e F2/CRC32=4 B; novo Q3, contém P1 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
018 | R4 | L1 | TRANSMITE | 688 bits no enlace R4-R3; Q3 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
