001 | H1 | L7 | GERA | processo 'navegador' gera a mensagem                                             42 B
002 | H1 | L6 | CODIFICA | texto em 42 octetos UTF-8 cifrado com XOR 0x5a; tamanho inalterado           42 B
003 | H1 | L5 | ABRE | sessao S-0001 aberta, uma unica vez, antes da segmentacao                        46 B
004 | H1 | L4 | SEGMENTA | segmento 1 de 1: porta 5210 -> 443                                           54 B
005 | H1 | L3 | ENCAPSULA | pacote H1-P1: 10.0.1.10 -> 10.0.1.11                                        74 B
006 | H1 | L3 | ROTEIA | entrega direta a H2 pela interface eth0                                        74 B
007 | H1 | L2 | ENQUADRA | pacote H1-P1, quadro Q1 para H2: AA:00:00:00:01:0A -> AA:00:00:00:01:0B; soma 0x00003f07 92 B
008 | H1 | L1 | TRANSMITE | pacote H1-P1, quadro Q1 convertido em 736 bits e transmitido                92 B
009 | H2 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H1-P1, quadro Q1                    92 B
010 | H2 | L2 | DESENQUADRA | pacote H1-P1, quadro Q1 de AA:00:00:00:01:0A conferido e descartado       74 B
011 | H2 | L3 | ENTREGA | pacote H1-P1 destinado a 10.0.1.11; entregue a camada 4                       54 B
012 | H2 | L4 | REMONTA | 1 segmento(s) do fluxo 5210 -> 443 remontado(s) em ordem; porta 443 -> 'servidorWeb' 46 B
013 | H2 | L5 | ENTREGA | sessao S-0001 reconhecida; mensagem entregue a camada 6                       42 B
014 | H2 | L6 | DECIFRA | 42 octetos decifrados com XOR e convertidos em texto                          42 B
015 | H2 | L7 | ENTREGA | mensagem entregue ao processo 'servidorWeb': 'Ola H2, aqui e o H1 testando a pilha OSI!!' 42 B
